# Comparação: Solução Numérica vs Solução Analítica
# θ₀ = 0.1745 rad (10.0 graus)
# t(s)	theta_num(rad)	theta_anal(rad)	diferenca(rad)
0.000000	0.174533	0.174533	0.000000e+00
0.000100	0.174533	0.174533	0.000000e+00
0.000200	0.174533	0.174533	1.735990e-10
0.000300	0.174533	0.174533	3.905977e-10
0.000400	0.174533	0.174533	6.943957e-10
0.000500	0.174533	0.174533	1.084993e-09
0.000600	0.174533	0.174533	1.562389e-09
0.000700	0.174533	0.174533	2.126584e-09
0.000800	0.174532	0.174532	2.777578e-09
0.000900	0.174532	0.174532	3.515371e-09
0.001000	0.174532	0.174532	4.339961e-09
0.001100	0.174532	0.174532	5.251349e-09
0.001200	0.174532	0.174532	6.249535e-09
0.001300	0.174531	0.174531	7.334518e-09
0.001400	0.174531	0.174531	8.506297e-09
0.001500	0.174531	0.174531	9.764873e-09
0.001600	0.174531	0.174531	1.111024e-08
0.001700	0.174530	0.174530	1.254241e-08
0.001800	0.174530	0.174530	1.406137e-08
0.001900	0.174530	0.174530	1.566713e-08
0.002000	0.174530	0.174530	1.735967e-08
0.002100	0.174529	0.174529	1.913902e-08
0.002200	0.174529	0.174529	2.100515e-08
0.002300	0.174528	0.174528	2.295807e-08
0.002400	0.174528	0.174528	2.499779e-08
0.002500	0.174528	0.174528	2.712429e-08
0.002600	0.174527	0.174527	2.933759e-08
0.002700	0.174527	0.174527	3.163767e-08
0.002800	0.174526	0.174526	3.402454e-08
0.002900	0.174526	0.174526	3.649819e-08
0.003000	0.174525	0.174525	3.905863e-08
0.003100	0.174525	0.174525	4.170586e-08
0.003200	0.174524	0.174524	4.443986e-08
0.003300	0.174524	0.174524	4.726065e-08
0.003400	0.174523	0.174523	5.016822e-08
0.003500	0.174522	0.174522	5.316258e-08
0.003600	0.174522	0.174522	5.624371e-08
0.003700	0.174521	0.174521	5.941161e-08
0.003800	0.174521	0.174521	6.266630e-08
0.003900	0.174520	0.174520	6.600775e-08
0.004000	0.174519	0.174519	6.943599e-08
0.004100	0.174519	0.174519	7.295099e-08
0.004200	0.174518	0.174518	7.655277e-08
0.004300	0.174517	0.174517	8.024131e-08
0.004400	0.174516	0.174516	8.401662e-08
0.004500	0.174516	0.174516	8.787870e-08
0.004600	0.174515	0.174515	9.182755e-08
0.004700	0.174514	0.174514	9.586316e-08
0.004800	0.174513	0.174513	9.998553e-08
0.004900	0.174512	0.174512	1.041947e-07
0.005000	0.174512	0.174512	1.084905e-07
0.005100	0.174511	0.174511	1.128732e-07
0.005200	0.174510	0.174510	1.173426e-07
0.005300	0.174509	0.174509	1.218988e-07
0.005400	0.174508	0.174508	1.265417e-07
0.005500	0.174507	0.174507	1.312713e-07
0.005600	0.174506	0.174506	1.360877e-07
0.005700	0.174505	0.174505	1.409909e-07
0.005800	0.174504	0.174504	1.459808e-07
0.005900	0.174503	0.174503	1.510574e-07
0.006000	0.174502	0.174502	1.562208e-07
0.006100	0.174501	0.174501	1.614709e-07
0.006200	0.174500	0.174500	1.668078e-07
0.006300	0.174499	0.174499	1.722314e-07
0.006400	0.174498	0.174498	1.777417e-07
0.006500	0.174497	0.174497	1.833387e-07
0.006600	0.174496	0.174496	1.890225e-07
0.006700	0.174495	0.174494	1.947930e-07
0.006800	0.174494	0.174493	2.006502e-07
0.006900	0.174492	0.174492	2.065942e-07
0.007000	0.174491	0.174491	2.126249e-07
0.007100	0.174490	0.174490	2.187422e-07
0.007200	0.174489	0.174489	2.249463e-07
0.007300	0.174488	0.174487	2.312372e-07
0.007400	0.174486	0.174486	2.376147e-07
0.007500	0.174485	0.174485	2.440789e-07
0.007600	0.174484	0.174483	2.506298e-07
0.007700	0.174482	0.174482	2.572675e-07
0.007800	0.174481	0.174481	2.639918e-07
0.007900	0.174480	0.174479	2.708028e-07
0.008000	0.174478	0.174478	2.777005e-07
0.008100	0.174477	0.174477	2.846850e-07
0.008200	0.174476	0.174475	2.917561e-07
0.008300	0.174474	0.174474	2.989138e-07
0.008400	0.174473	0.174473	3.061583e-07
0.008500	0.174471	0.174471	3.134895e-07
0.008600	0.174470	0.174470	3.209073e-07
0.008700	0.174468	0.174468	3.284118e-07
0.008800	0.174467	0.174467	3.360030e-07
0.008900	0.174465	0.174465	3.436808e-07
0.009000	0.174464	0.174464	3.514453e-07
0.009100	0.174462	0.174462	3.592965e-07
0.009200	0.174461	0.174460	3.672343e-07
0.009300	0.174459	0.174459	3.752588e-07
0.009400	0.174458	0.174457	3.833699e-07
0.009500	0.174456	0.174456	3.915677e-07
0.009600	0.174454	0.174454	3.998521e-07
0.009700	0.174453	0.174452	4.082232e-07
0.009800	0.174451	0.174451	4.166809e-07
0.009900	0.174449	0.174449	4.252253e-07
0.010000	0.174448	0.174447	4.338563e-07
0.010100	0.174446	0.174446	4.425739e-07
0.010200	0.174444	0.174444	4.513781e-07
0.010300	0.174443	0.174442	4.602690e-07
0.010400	0.174441	0.174440	4.692465e-07
0.010500	0.174439	0.174439	4.783106e-07
0.010600	0.174437	0.174437	4.874613e-07
0.010700	0.174435	0.174435	4.966986e-07
0.010800	0.174434	0.174433	5.060225e-07
0.010900	0.174432	0.174431	5.154331e-07
0.011000	0.174430	0.174429	5.249302e-07
0.011100	0.174428	0.174427	5.345139e-07
0.011200	0.174426	0.174426	5.441842e-07
0.011300	0.174424	0.174424	5.539411e-07
0.011400	0.174422	0.174422	5.637846e-07
0.011500	0.174420	0.174420	5.737147e-07
0.011600	0.174418	0.174418	5.837313e-07
0.011700	0.174416	0.174416	5.938345e-07
0.011800	0.174414	0.174414	6.040243e-07
0.011900	0.174412	0.174412	6.143007e-07
0.012000	0.174410	0.174410	6.246636e-07
0.012100	0.174408	0.174408	6.351130e-07
0.012200	0.174406	0.174406	6.456490e-07
0.012300	0.174404	0.174403	6.562716e-07
0.012400	0.174402	0.174401	6.669807e-07
0.012500	0.174400	0.174399	6.777763e-07
0.012600	0.174398	0.174397	6.886585e-07
0.012700	0.174396	0.174395	6.996272e-07
0.012800	0.174393	0.174393	7.106824e-07
0.012900	0.174391	0.174390	7.218242e-07
0.013000	0.174389	0.174388	7.330524e-07
